# Directed graph (each unordered pair of nodes is saved once): Cit-Patents.txt 
# US Patent citation network 1975-1999
# Nodes: 3774768 Edges: 16518948
# FromNodeId	ToNodeId
3858245	3755824
3858302	3706241
3858313	2592936
3858317	3805383
3858318	2584231
3858360	2261565
3858368	170178
3858375	3488906
3858399	3140858
3858402	3720066
3858410	2664716
3858428	2742076
3858429	3324703
3858462	2289267
3858465	885596
3858471	3785235
3858473	2639025
3858491	2152447
3858495	3297166
3858499	3755915
3858511	2050950
3858512	1345300
3858515	1687341
3858528	3512857
3858531	2758296
3858533	3538865
3858541	1357473
3858551	411504
3858559	2367326
3858569	2283355
3858570	926304
3858571	3404682
3858573	3306283
3858604	3572375
3858611	3439711
3858614	3757826
3858623	2755047
3858623	3032441
3858638	1860648
3858638	2120986
3858655	3529666
3858663	3515221
3858664	1035529
3858664	2950771
3858670	2121202
3858673	1928412
3858675	3078656
3858692	3115952
3858699	2966969
3858713	3395741
3858721	3695414
3858727	3091423
3858735	3315542
3858740	3399796
3858746	936725
3858747	3662914
3858747	3700135
3858748	3730382
3858773	2067196
3858780	3543987
3858792	3204987
3858800	2881616
3858808	926218
3858808	2483545
3858819	3030043
3858826	3741496
3858835	447605
3858835	3532318
3858869	3723228
3858883	2008588
3858886	3059926
3858889	2568671
3858928	3086661
3858936	2563671
3858961	2904768
3858963	3736040
3858977	3637294
3858982	3645632
3859008	678199
3859008	2933045
3859012	3150592
3859012	3165692
3859021	3245129
3859021	3344492
3859044	3635667
3859061	3637354
3859107	2825409
3859113	2313750
3859114	3375155
3859122	3042544
3859122	3687721
3859136	3005863
3859141	3762956
3859150	3103728
3859199	3748261
3859205	2255227
3859206	2717695
3859208	3278028
3859215	3234880
3859223	2886532
3859267	3723350
3859274	3767645
3859276	2893992
3859299	3182068
3859308	3792062
3859316	3159593
3859330	3141903
3859343	3560559
3859360	3717618
3859370	3509226
3859379	3655816
3859398	3695516
3859412	784640
3859421	3419645
3859426	1926744
3859438	3729474
3859453	3559287
3859470	3482053
3859477	2567407
3859481	2205665
3859494	3470621
3859498	2979595
3859505	2424161
3859505	2430715
3859517	3135904
3859547	3070730
3859549	3159762
3859558	3551858
3859560	3228002
3859570	3476981
3859600	3654556
3859604	3648188
3859609	3775708
3859632	3541706
3859634	3644893
3859635	3364395
3859640	3691534
3859651	2418576
3859654	3588881
3859671	3699815
3859671	3742934
3859673	1498111
3859674	3562985
3859681	3167792
3859681	3447259
3859696	2982082
3859699	2641940
3859700	1047466
3859714	3467510
3859715	3389723
3859735	2917285
3859764	2929474
3859764	3224152
3859779	3447298
3859791	1718673
3859791	3260273
3859816	2480346
3859822	3491556
3859823	2773371
3859837	2710677
3859853	3326041
3859860	1489802
3859894	1923649
3859899	2523923
3859902	3490356
3859905	3468026
3859915	2312053
3859921	3366056
3859925	3373697
3859925	3526193
3859937	3773002
3859940	3051111
3859944	3704678
3859959	3816799
3859983	3207151
3859992	2979056
3860000	3185153
3860014	2597254
3860043	3457963
3860045	2141386
3860046	3597300
3860064	2937803
3860070	3815681
3860073	3674237
3860082	2728463
3860096	3134462
3860099	3678226
3860112	3815947
3860122	3680322
3860140	2495798
3860149	3591128
3860156	2628007
3860168	3622448
3860181	2825377
3860191	3312410
3860204	2783958
3860208	3217118
3860213	3066577
3860213	3438660
3860218	3460809
3860222	2477796
3860243	2690338
3860246	2461826
3860253	2879071
3860271	409277
3860276	1187756
3860278	3391419
3860286	2370447
3860315	3104144
3860329	1683951
3860361	2344266
3860371	3050427
3860397	3544857
3860403	1746774
3860408	2596899
3860425	2768894
3860427	3411908
3860435	3128194
3860449	3470021
3860452	3800026
3860460	3414782
3860462	3102834
3860470	3311520
3860473	2789640
3860473	3052586
3860479	3653824
3860491	3160486
3860505	3565041
3860516	3595956
3860519	3752317
3860532	3210293
3860540	3649575
3860542	2973285
3860543	3318977
3860574	3282783
3860610	3577431
3860633	2813118
3860681	2694245
3860687	2382139
3860694	1225722
3860721	3549691
3860730	3403028
3860748	2003967
3860750	2286450
3860759	3649765
3860760	3104284
3860760	3621150
3860764	3744022
3860777	3661537
3860783	3178804
3860793	3375500
3860827	2576600
3860859	2496485
3860861	3436629
3860863	2894173
3860871	3654492
3860892	3727153
3860898	3475711
3860911	3761892
3860922	3156895
3860924	3631488
3860948	3585464
3860951	3018330
3860954	3499984
3860958	3126535
3860992	2915775
3861003	2200895
3861005	3308052
3861010	3410160
3861023	3771217
3861025	2872723
3861029	3591526
3861038	708683
3861048	595865
3861057	995084
3861058	2490176
3861084	1020488
3861088	3512309
3861092	2930387
3861097	911504
3861101	3420504
3861108	1988118
3861111	294385
3861122	3511138
3861130	3811628
3861137	3196614
3861143	3367175
3861148	2561604
3861185	3263466
3861191	3719068
3861198	3398023
3861226	3014379
3861237	2943511
3861240	3763718
3861249	3718057
3861253	1758729
3861272	2792756
3861283	3587441
3861296	352249
3861296	3654855
3861323	3434431
3861326	1359835
3861352	3262420
3861357	2538413
3861361	3785352
3861363	3670182
3861364	571587
3861365	3400696
3861378	2617005
3861386	3387607
3861390	3683913
3861411	3008480
3861422	2899984
3861509	2259527
3861511	3724630
3861512	3405794
3861514	2195371
3861517	2493479
3861533	591078
3861534	1099645
3861534	2315628
3861556	2669273
3861574	3594540
3861576	3627116
3861605	3032292
3861608	3356304
3861614	2476928
3861629	2260932
3861639	1949180
3861646	713052
3861655	2969960
3861706	3303615
3861710	3741584
3861712	3618974
3861743	2175452
