# Directed graph (each unordered pair of nodes is saved once): Cit-Patents.txt 
# US Patent citation network 1975-1999
# Nodes: 3774768 Edges: 16518948
# FromNodeId	ToNodeId
3858255	2866982
3858264	3203002
3858271	3445882
3858283	2267384
3858284	3602754
3858313	3688398
3858326	34608
3858326	1864832
3858328	2468554
3858331	3626602
3858357	3147562
3858410	2187387
3858413	3353374
3858418	2039490
3858432	3727442
3858437	3140600
3858442	2187345
3858465	2696134
3858530	3341160
3858551	2025467
3858556	3604400
3858570	2600240
3858656	3811507
3858658	3760881
3858713	3278000
3858714	3269517
3858741	3700133
3858752	2837063
3858795	3747843
3858798	509722
3858826	2990132
3858832	3748466
3858869	3723228
3858895	3580597
3858896	3658357
3858922	2136061
3858923	3759557
3858924	2121317
3858930	3547467
3858935	2662586
3858972	3468603
3858990	2643581
3858995	3415543
3859010	1382705
3859022	1431718
3859047	3001950
3859059	3133796
3859096	3518086
3859109	2357089
3859126	3533861
3859143	3528893
3859153	3292220
3859206	3690571
3859242	3383344
3859244	2929800
3859267	2986531
3859321	3318843
3859331	3734952
3859332	3772386
3859348	3427306
3859368	3239572
3859370	3586728
3859421	2431326
3859423	3720757
3859450	2447417
3859464	2854512
3859529	2692948
3859538	3418482
3859548	3403273
3859634	3694810
3859657	3334267
3859671	3499327
3859676	3570020
3859678	3654059
3859696	3781949
3859705	2716308
3859756	3365842
3859811	3305320
3859813	3760600
3859823	2773371
3859866	2903904
3859869	3698267
3859885	2948180
3859925	3483829
3859934	1200919
3859970	2030247
3859984	3387149
3859986	3561432
3859990	3724012
3860006	3610240
3860029	3505888
3860031	1265807
3860044	2705024
3860045	2141386
3860058	3149383
3860092	2557483
3860112	3156358
3860178	3464627
3860184	2798674
3860214	3142234
3860226	3285673
3860235	2673088
3860275	3317221
3860293	2476193
3860315	3475569
3860333	3424524
3860333	3489494
3860349	2624881
3860368	3067718
3860397	3469017
3860408	1546353
3860418	3323906
3860425	2768894
3860444	2153786
3860458	3689254
3860470	3303081
3860492	2433741
3860495	3445347
3860533	2830960
3860534	3358020
3860571	3117960
3860653	3499901
3860671	3655821
3860692	1350090
3860741	3352962
3860770	2575445
3860786	2389014
3860827	2712081
3860844	2891637
3860861	3436629
3860878	3173095
3860886	3521187
3860935	3336851
3860966	3230544
3860990	2867825
3860998	3091827
3861078	3729865
3861080	3453777
3861096	3385555
3861102	3594971
3861113	3325845
3861114	2297432
3861151	3237413
3861164	1863576
3861165	2720084
3861186	1816218
3861234	3719104
3861248	3162475
3861282	3403855
3861301	3465866
3861303	2115760
3861303	2290871
3861332	3641952
3861351	1942172
3861364	1825118
3861401	3640285
3861438	1462984
3861470	3667505
3861479	3725656
3861486	3774713
3861491	3486577
3861521	3654059
3861555	2563016
3861575	2360950
3861588	3394722
3861607	2646227
3861616	2934228
3861638	358527
3861652	3664638
3861678	1231597
3861741	3083056
3861742	2317894
3861774	1761358
3861774	2800247
3861776	3453587
3861818	3220244
3861819	839086
3861826	3184152
3861863	3449546
3861878	3582280
3861939	3120500
3861994	3619344
3862027	3446348
3862055	3723353
3862096	2097263
3862097	3786116
3862118	2263894
3862150	3655719
3862238	3202573
3862240	3483298
3862245	3356728
3862246	2665313
3862265	3652730
3862290	3645746
3862293	1434088
3862345	1480984
3862345	3024823
3862421	3209149
3862423	3261977
3862535	3438168
3862544	2981286
3862555	3369653
3862576	2479787
3862617	3224411
3862624	883240
3862657	3286334
3862664	2741461
3862665	3561550
3862666	3333648
3862673	3130819
3862678	2435936
3862678	3530965
3862681	3754635
3862685	3592339
3862690	86140
3862725	652414
3862731	3191892
3862769	3711121
3862780	3523000
3862788	2836968
3862802	3737230
3862834	3547622
3862859	3322575
3862863	3676115
3862893	2944952
3862900	3306945
3862922	3331818
3863003	3181929
3863019	3754926
3863046	2223692
3863073	3643095
3863083	3089045
3863085	1666459
3863089	3242374
3863089	3559190
3863092	3092750
3863099	3499979
3863125	3536984
3863174	3546618
3863181	3768048
3863183	2953757
3863224	3581066
3863227	3719929
3863249	3648269
3863257	2971190
3863261	3718842
3863271	2738190
3863302	2346706
3863306	3014126
3863308	3727676
3863380	3762092
3863459	3386458
3863480	2314510
3863487	3782162
3863549	3687447
3863552	1474844
3863554	2395689
3863555	1964896
3863559	3134321
3863567	3122995
3863576	3428185
3863587	2150397
3863599	2656605
3863610	2927560
3863622	3744063
3863697	3510929
3863730	3260555
3863733	2239549
3863734	2851123
3863757	3086639
3863776	3278047
3863796	3797688
3863819	1298031
3863831	3197108
3863837	2174924
3863839	3727833
3863841	3009655
3863843	2230201
3863882	3407757
3863893	3222742
3863908	3368009
3863916	2209465
3863994	3464746
3864002	3662086
3864004	3631373
3864006	2006155
3864015	877313
3864087	3723062
3864090	1967909
3864101	3406020
3864105	3716043
3864107	453143
3864114	3299566
3864118	3285735
3864176	3567524
3864190	2358368
3864221	1927773
3864240	3003948
3864256	3797663
3864271	3556846
3864277	3079266
3864297	3485811
3864378	2855428
3864380	3775461
3864418	3758605
3864422	3347948
3864424	2591367
3864426	2861060
3864442	1919197
3864503	3483004
3864513	3593284
3864557	3725654
3864582	3716723
3864583	3641447
3864599	1010197
3864611	3700914
3864634	3450842
3864686	2370628
3864690	3633206
3864722	3739240
3864743	3531127
3864779	3281878
3864786	3564643
3864868	3405478
3864905	3747322
3864909	2759491
3864925	3668874
3864928	3282305
3864934	3416327
3864937	3805546
3864942	3550398
3864964	3427874
3865050	3199819
3865074	2877138
3865144	3269165
