# Directed graph (each unordered pair of nodes is saved once): Cit-Patents.txt 
# US Patent citation network 1975-1999
# Nodes: 3774768 Edges: 16518948
# FromNodeId	ToNodeId
3858241	3398406
3858241	3634889
3858245	3621837
3858251	3320907
3858256	2012755
3858260	2784424
3858270	1377626
3858271	2885718
3858274	3628845
3858275	1479503
3858276	466846
3858278	2446021
3858288	822723
3858300	1631889
3858300	2160395
3858301	2148213
3858308	2387073
3858312	3063136
3858312	3443136
3858317	3449992
3858323	1838982
3858326	34608
3858327	3583815
3858339	311220
3858339	2087432
3858340	286736
3858343	3670446
3858352	3490170
3858357	3263359
3858364	3282012
3858373	411683
3858374	2198985
3858378	2651144
3858385	3077311
3858389	3733804
3858395	3358451
3858397	3410604
3858399	2922283
3858400	3389560
3858402	2187871
3858402	3541588
3858407	3810366
3858408	2500679
3858409	3674359
3858412	2841161
3858428	2471486
3858430	3559449
3858442	3572102
3858454	3016757
3858458	3523599
3858461	2223768
3858461	3216286
3858465	1120751
3858470	3349822
3858479	3667340
3858481	2916970
3858483	2642809
3858486	2712794
3858486	3136263
3858487	2815718
3858487	3142262
3858491	3718081
3858495	2939384
3858499	3230860
3858501	2812793
3858506	3709144
3858509	3314360
3858511	1966121
3858511	2103617
3858511	3424085
3858511	3750572
3858512	2320239
3858514	3608488
3858516	2487789
3858526	3590549
3858526	3746160
3858530	3523508
3858537	1924378
3858539	3024751
3858558	3766893
3858566	2723655
3858567	2835245
3858570	899103
3858572	3731679
3858573	1685557
3858574	3599628
3858577	3471215
3858578	1276117
3858580	2232978
3858601	422583
3858601	800740
3858603	601472
3858623	2903021
3858625	2146104
3858629	1256065
3858641	2471683
3858648	3211226
3858649	3664415
3858649	3824850
3858654	3687197
3858660	1668157
3858670	3786879
3858679	3022377
3858682	2981366
3858684	3190393
3858686	679201
3858696	3458018
3858697	3517650
3858704	1564913
3858705	3143200
3858705	3200740
3858710	3120891
3858711	3754635
3858713	885959
3858718	2380052
3858721	3335852
3858722	2771214
3858723	3695187
3858725	2464743
3858728	3493258
3858733	3594847
3858738	3519157
3858744	1644892
3858750	2219498
3858750	3395695
3858757	3219244
3858761	3143295
3858763	1241437
3858773	2067196
3858774	2596860
3858774	3677451
3858776	2956717
3858779	3522871
3858784	3407949
3858785	3337944
3858785	3406271
3858786	3453949
3858787	2905371
3858788	3773247
3858789	2339304
3858791	3642195
3858793	1129178
3858795	3713775
3858799	3748652
3858800	3172602
3858818	2301699
3858825	3193327
3858826	2990132
3858829	3556435
3858829	3628753
3858831	3698663
3858834	3758063
3858835	2680522
3858838	1039359
3858838	2307752
3858841	3312445
3858843	932188
3858847	3499629
3858854	3207666
3858860	2768635
3858871	1426624
3858872	2206750
3858878	2976041
3858879	3166316
3858886	2683036
3858887	3397494
3858896	3540750
3858904	3583530
3858907	2673965
3858911	2050728
3858911	3534986
3858921	299712
3858921	3544148
3858922	2319897
3858922	2683619
3858933	2699311
3858934	2240143
3858934	2665740
